Day,MIN,MAX,AVG
237,10,20.8,15.4
238,9.6,21.9,15.75
239,10,23.4,23.4
240,8.3,24.7,16.5
241,10.4,24.7,17.55
242,10.4,28,19.2
243,14.6,25.7,20.15
244,16.9,26.8,21.85
245,16.4,23.7,20.05
246,15.2,24.5,19.85
247,14.4,24.3,19.35
248,15,24.4,19.7
249,11.1,23.8,17.45
250,10.8,24.2,17.5
251,9.8,23.9,16.85
252,12.3,25,18.65
253,12.1,30.1,21.1
254,12.3,25.9,19.1
255,12,26.1,19.05
256,14.7,28.9,21.8
257,14.2,22.5,18.35
258,10.6,24.9,17.75
259,11.4,24.1,17.75
260,12,24.8,18.4
261,13.5,25.2,19.35
262,15.5,28.2,21.85
263,15.2,26.9,21.05
264,16.9,24.7,20.8
265,none,none,none
266,none,none,none
267,none,27,27
268,12.1,28.8,20.45
269,16.6,26,21.3
270,15.2,19.8,17.5
271,13.9,21.8,17.85
272,13,23.6,18.3
273,17.1,26.7,21.9
274,15.6,27.7,21.65
275,12.6,28.9,20.75
276,14,30.9,22.45
277,15.3,36.6,25.95
278,15.8,31,23.4
279,14.6,27.1,20.85
280,14.2,26.4,20.3
281,16.8,29.1,22.95
282,17.9,27.7,22.8
283,19.8,28.1,23.95
284,18.9,28.3,23.6
285,16.1,22.4,19.25
286,16.8,24.9,20.85
287,17.1,26.2,21.65
288,18.1,30.1,24.1
289,12.1,27.7,19.9
290,12.5,27.6,20.05
291,17,26.1,21.55
292,14.9,28.4,21.65
293,16,27.3,21.65
294,16.6,26.7,21.65
295,18.4,26.9,22.65
296,20.8,29.8,25.3
297,20.5,33.3,26.9
298,20.1,27.5,23.8
299,20.4,27.1,23.75
300,20.2,28.3,24.25
301,22.9,30.1,26.5
302,22.1,29.5,25.8
303,20.1,33,26.55
304,19.4,23.6,21.5
305,16,24.1,20.05
306,17.6,25.4,21.5
307,17.2,24.3,20.75
308,14.6,25.3,19.95
309,17.4,25.3,21.35
310,17.7,25.3,21.5
311,20.3,27.2,23.75
312,20.8,28.4,24.6
313,21.9,29.1,25.5
314,22.9,29.5,26.2
315,23.4,31.4,27.4
